bookid,book_title,pubid,authorname,Category,Date_of_Arrival,Book_Status
1,MYSQL,101,Anand,Domain,2024-01-02,Available
2,Palace of Illusions,102,Chitra Banerjee ,Novels,2024-01-03,Available
3,The Immortals of Meluha,101,Amish Tripathi,Novels,2024-01-04,Not-Available
4,Oracle SQL by Example,104,Alice Rischert,Domain,2024-01-05,Available
5,Effective Java,103,Joshua Bloch,Domain,2024-01-07,Available
6,Mastering Python Data Analysis,102,Magnus Vilhelm,Domain,2024-01-10,Not-Available
7,Embedded Systems Design,101,Chris Nagy,Domain,2024-01-15,Available
8,Pro PHP Programming,102,M.J.Powers,Domain,2024-01-17,Available
9,The Test of My Life,101,Yuvraj Singh,History,2024-01-20,Available
10,Playing It My Way,102,Sachin Tendulkar,History,2024-01-28,Available
11,Ponniyin Selvan,101,Kalki Krishnamurthi,History,2024-02-01,Available
12,Kamba ramayanam,102,Ra.Seenivasan,Literature,2024-02-04,Available
13,Mahabaratham,101,N.Parthasarathy,Literature,2024-02-07,Available
14,Sivagamiyin sabatham,104,Kalki Krishnamurthi,History,2024-02-09,Available
15,Programming with Java,103,Balagurusamy,Domain,2024-02-12,Available
16,HTML,102,Sybex,Domain,2024-02-15,Available
17,World Regional Geography,101,Caitlin Finlayson,Geography,2024-02-18,Available
18,Modern Geography,102,James Geikie,Geography,2024-02-21,Available
19,Pride and Prejudice,101,Jane Austen,Novels,2024-02-25,Available
20,1984,102,George Orwell,Novels,2024-02-28,Available
21,To Kill a Mockingbird,114,Harper Lee,Novels,2024-03-01,Available
22,The Road,102,Cormac McCarthy,Novels,2024-03-04,Available
23,Normal People,105,Sally Rooney,Novels,2024-03-06,Available
24,Where the Crawdads Sing,104,Delia Owens,Novels,2024-03-09,Available
25,Learning SQL,103,Alan Beaulieu,Domain,2024-03-12,Available
26,Introduction to Algorithms,102,Thomas H. Cormen,Domain,2024-03-15,Available
27,The Great Gatsby,108,F. Scott Fitzgerald,Novels,2024-03-17,Available
28,Microeconomics,102,Paul Krugman,Domain,2024-03-19,Available
29,World Geography,113,Richard G. Boehm,Geography,2024-03-24,Available
30,Advanced Java,102,Kathy Sierra,Domain,2024-03-30,Available
31,"Guns,Germs And Steel:The Fates Of Human Societies",114,Jared Diamond,History,2024-04-02,Available
32,A History Of Nazi Germany,112,William L. Shirer,History,2024-04-05,Available
33,A PeopleS History Of The United States,105,Howard Zin,History,2024-04-08,Available
34,Decline And Fall Of The Roman Empire,104,Edward Gibbon,History,2024-04-11,Available
35,The Political Genius Of Abraham Lincoln,103,Doris Kearns Goodwin,History,2024-04-13,Available
36,The Silk Roads:A New History Of The World,106,Peter Frankopan,History,2024-04-15,Available
37,1776,108,David Mccullough,History,2024-04-18,Available
38,The Wright Brothers,109,David Mccullough,History,2024-04-20,Available
39,The Diary Of A Young Girl,113,Anne Frank,History,2024-04-24,Available
40,Spqr:A History Of Ancient Rome,115,Mary Beard,History,2024-04-29,Available
41,The Catcher In The Rye,114,J.D.Salinger,Novels,2024-05-02,Available
42,Moby-Dick,112,Herman Melville,Novels,2024-05-04,Available
43,Beloved,105,Toni Morrison,Novels,2024-05-06,Available
44,Jane Eyre,104,Charlotte Bronte,Novels,2024-05-10,Available
45,The Kite Runner,103,Khaled Hosseini,Novels,2024-05-11,Available
46,Dracula,106,Bram Stoker,Novels,2024-05-15,Available
47,Frankenstein,108,Mary Shelley,Novels,2024-05-19,Available
48,The Shining,109,Stephen King,Novels,2024-05-20,Available
49,The Haunting Of Hill House,113,Shirley Jackson,Novels,2024-05-23,Available
50,Interview With The Vampire,115,Anne Rice,Novels,2024-05-31,Available
